"filename", "language", "C++", "Markdown", "Makefile", "comment", "blank", "total"
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\Makefile", "Makefile", 0, 0, -149, -79, -53, -281
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\README.md", "Markdown", 0, -2, 0, 0, -1, -3
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\build\cursor_sprites.h", "C++", -6, 0, 0, -1, -2, -9
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\build\eng_debug_menu.h", "C++", -15, 0, 0, -1, -2, -18
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Components\CursorComponent.cpp", "C++", -21, 0, 0, -2, -4, -27
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\Components\debug.cpp", "C++", -672, 0, 0, -40, -68, -780
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\basics.hpp", "C++", -21, 0, 0, -2, -3, -26
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\components.hpp", "C++", -3, 0, 0, 0, -1, -4
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\data.hpp", "C++", -197, 0, 0, -48, -20, -265
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\font.hpp", "C++", -29, 0, 0, 0, -7, -36
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\input.hpp", "C++", -14, 0, 0, 0, -3, -17
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\object.hpp", "C++", -106, 0, 0, -17, -44, -167
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\objectdef.hpp", "C++", -155, 0, 0, -3, -32, -190
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\preproc.hpp", "C++", -8, 0, 0, 0, -3, -11
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\scene.hpp", "C++", -72, 0, 0, -14, -27, -113
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\scenedef.hpp", "C++", -60, 0, 0, -2, -13, -75
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\setup.hpp", "C++", -38, 0, 0, 0, -14, -52
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\sound.hpp", "C++", -26, 0, 0, -1, -3, -30
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\include\Rutice\Internal\types.hpp", "C++", -50, 0, 0, -3, -12, -65
"\home\techiesplash\Documents\projects\adv\3ds\engine\Rutice\src\main.cpp", "C++", -134, 0, 0, -32, -43, -209
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\Makefile", "Makefile", 0, 0, 149, 79, 53, 281
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\README.md", "Markdown", 0, 2, 0, 0, 1, 3
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\build\cursor_sprites.h", "C++", 6, 0, 0, 1, 2, 9
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\build\eng_debug_menu.h", "C++", 15, 0, 0, 1, 2, 18
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Components\CursorComponent.cpp", "C++", 23, 0, 0, 2, 3, 28
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\Components\debug.cpp", "C++", 603, 0, 0, 34, 61, 698
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\basics.hpp", "C++", 21, 0, 0, 2, 3, 26
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\components.hpp", "C++", 3, 0, 0, 0, 1, 4
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\data.hpp", "C++", 270, 0, 0, 61, 46, 377
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\debug.hpp", "C++", 72, 0, 0, 6, 8, 86
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\font.hpp", "C++", 29, 0, 0, 0, 7, 36
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\input.hpp", "C++", 14, 0, 0, 0, 3, 17
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\object.hpp", "C++", 106, 0, 0, 17, 44, 167
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\objectdef.hpp", "C++", 155, 0, 0, 3, 32, 190
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\preproc.hpp", "C++", 8, 0, 0, 0, 3, 11
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\scene.hpp", "C++", 72, 0, 0, 14, 27, 113
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\scenedef.hpp", "C++", 60, 0, 0, 2, 13, 75
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\setup.hpp", "C++", 38, 0, 0, 0, 14, 52
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\sound.hpp", "C++", 26, 0, 0, 1, 3, 30
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\sprites.hpp", "C++", 66, 0, 0, 9, 20, 95
"c:\Users\super\OneDrive\Documents\Rutice\Rutice\include\Rutice\Internal\tilemap.hpp", "C++", 2, 0, 0, 0, 2, 4
