Date : 2022-05-02 17:13:41
Directory : /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice
Total : 92 files,  34536 codes, 10061 comments, 5244 blanks, all 49841 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         31 |     24,246 |      5,124 |      3,297 |     32,667 |
| C++      |         59 |     10,139 |      4,858 |      1,893 |     16,890 |
| Makefile |          1 |        149 |         79 |         53 |        281 |
| Markdown |          1 |          2 |          0 |          1 |          3 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |         92 |     34,536 |     10,061 |      5,244 |     49,841 |
| include                                                                                                                          |         89 |     34,236 |      9,948 |      5,152 |     49,336 |
| include/Rutice                                                                                                                   |         89 |     34,236 |      9,948 |      5,152 |     49,336 |
| include/Rutice/Components                                                                                                        |          1 |         32 |          4 |          7 |         43 |
| include/Rutice/Internal                                                                                                          |         88 |     34,204 |      9,944 |      5,145 |     49,293 |
| include/Rutice/Internal/Components                                                                                               |          1 |        536 |         39 |         57 |        632 |
| include/Rutice/Internal/libs                                                                                                     |         71 |     32,567 |      9,760 |      4,819 |     47,146 |
| include/Rutice/Internal/libs/gc                                                                                                  |         71 |     32,567 |      9,760 |      4,819 |     47,146 |
| include/Rutice/Internal/libs/gc/include                                                                                          |         71 |     32,567 |      9,760 |      4,819 |     47,146 |
| include/Rutice/Internal/libs/gc/include/gc                                                                                       |         18 |      2,473 |      2,364 |        653 |      5,490 |
| include/Rutice/Internal/libs/gc/include/private                                                                                  |         14 |      5,676 |      2,082 |        749 |      8,507 |
| src                                                                                                                              |          1 |        149 |         34 |         38 |        221 |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                         | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/Makefile                                                             | Makefile |        149 |         79 |         53 |        281 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/README.md                                                            | Markdown |          2 |          0 |          1 |          3 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Components/CursorComponent.cpp                        | C++      |         32 |          4 |          7 |         43 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/Components/debug.cpp                         | C++      |        536 |         39 |         57 |        632 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/basics.hpp                                   | C++      |         18 |          2 |          5 |         25 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/components.hpp                               | C++      |          3 |          0 |          3 |          6 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/data.hpp                                     | C++      |        267 |         63 |         48 |        378 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/debug.hpp                                    | C++      |        140 |          9 |         13 |        162 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/font.hpp                                     | C++      |         29 |          0 |          7 |         36 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/input.hpp                                    | C++      |         14 |          0 |          3 |         17 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/allchblk.c                   | C        |        694 |        201 |         95 |        990 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/alloc.c                      | C        |      1,301 |        270 |        205 |      1,776 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/backgraph.c                  | C        |        400 |        102 |         60 |        562 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/blacklst.c                   | C        |        199 |         70 |         35 |        304 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/checksums.c                  | C        |        134 |         17 |         28 |        179 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/config.h                     | C++      |         45 |        144 |         88 |        277 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/darwin_stop_world.c          | C        |        588 |         99 |         84 |        771 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/dbg_mlc.c                    | C        |      1,001 |        111 |        120 |      1,232 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/dyn_load.c                   | C        |      1,160 |        258 |        171 |      1,589 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/finalize.c                   | C        |      1,090 |        178 |        138 |      1,406 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/fnlz_mlc.c                   | C        |         68 |         29 |         16 |        113 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc.h                         | C++      |          1 |          1 |          1 |          3 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/cord.h                    | C++      |         98 |        221 |         60 |        379 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/cord_pos.h                | C++      |         54 |         49 |         26 |        129 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/ec.h                      | C++      |         29 |         46 |         15 |         90 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc.h                      | C++      |        825 |      1,134 |        221 |      2,180 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_allocator.h            | C++      |        227 |         60 |         55 |        342 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_backptr.h              | C++      |         27 |         58 |         13 |         98 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_config_macros.h        | C++      |        353 |         60 |         46 |        459 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_cpp.h                  | C++      |        341 |        164 |         60 |        565 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_disclaim.h             | C++      |         22 |         41 |         12 |         75 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_gcj.h                  | C++      |         33 |         61 |         17 |        111 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_inline.h               | C++      |        126 |         61 |         22 |        209 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_mark.h                 | C++      |        120 |        175 |         36 |        331 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_pthread_redirects.h    | C++      |         73 |         31 |         21 |        125 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_tiny_fl.h              | C++      |         29 |         54 |          8 |         91 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_typed.h                | C++      |         44 |         63 |         16 |        123 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_version.h              | C++      |         16 |         26 |          6 |         48 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/javaxfc.h                 | C++      |         21 |         37 |          8 |         66 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/leak_detector.h           | C++      |         35 |         23 |         11 |         69 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc_badalc.cc                 | C++      |         17 |         15 |          8 |         40 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc_badalc.cpp                | C++      |          1 |          1 |          1 |          3 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc_cpp.cc                    | C++      |         85 |         27 |         20 |        132 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc_cpp.cpp                   | C++      |          1 |          1 |          1 |          3 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc_cpp.h                     | C++      |          1 |          1 |          1 |          3 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc_dlopen.c                  | C        |         51 |         40 |         12 |        103 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gcdeps.hpp                   | C++      |         21 |          0 |          0 |         21 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gcj_mlc.c                    | C        |        189 |         57 |         23 |        269 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/headers.c                    | C        |        324 |         60 |         43 |        427 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/mach_dep.c                   | C        |        352 |         67 |         49 |        468 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/malloc.c                     | C        |        530 |        108 |         66 |        704 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/mallocx.c                    | C        |        466 |        118 |         55 |        639 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/mark.c                       | C        |      1,519 |        362 |        180 |      2,061 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/mark_rts.c                   | C        |        679 |        189 |         90 |        958 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/misc.c                       | C        |      2,114 |        288 |        287 |      2,689 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/new_hblk.c                   | C        |        118 |         51 |         24 |        193 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/obj_map.c                    | C        |         57 |         23 |         12 |         92 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/os_dep.c                     | C        |      4,054 |        765 |        554 |      5,373 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/private/darwin_semaphore.h   | C++      |         57 |         20 |         12 |         89 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/private/darwin_stop_world.h  | C++      |         27 |         16 |         11 |         54 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/private/dbg_mlc.h            | C++      |         97 |         70 |         16 |        183 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/private/gc_alloc_ptrs.h      | C++      |         28 |         21 |         12 |         61 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/private/gc_atomic_ops.h      | C++      |         77 |         24 |         23 |        124 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/private/gc_hdrs.h            | C++      |        124 |         63 |         30 |        217 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/private/gc_locks.h           | C++      |        216 |         57 |         16 |        289 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/private/gc_pmark.h           | C++      |        285 |        132 |         49 |        466 |
