"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/build/cursor_sprites.h", "C++", 6, 0, 1, 2, 9
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/build/eng_debug_menu.h", "C++", 15, 0, 1, 2, 18
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/build/missingTexture.h", "C++", 2, 0, 1, 2, 5
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/basics.hpp", "C++", 1, 0, 0, 0, 1
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/gc/Generation.cpp", "C++", 41, 0, 7, 16, 64
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/gc/Generation.hpp", "C++", 34, 0, 14, 9, 57
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/gc/config.hpp", "C++", 8, 0, 0, 1, 9
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/gc/gc.cpp", "C++", 130, 0, 10, 32, 172
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/gc/gc.hpp", "C++", 85, 0, 17, 27, 129
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/allchblk.c", "C", 0, -694, -201, -95, -990
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/alloc.c", "C", 0, -1301, -270, -205, -1776
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/backgraph.c", "C", 0, -400, -102, -60, -562
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/blacklst.c", "C", 0, -199, -70, -35, -304
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/checksums.c", "C", 0, -134, -17, -28, -179
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/config.h", "C++", -45, 0, -144, -88, -277
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/darwin_stop_world.c", "C", 0, -588, -99, -84, -771
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/dbg_mlc.c", "C", 0, -1001, -111, -120, -1232
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/dyn_load.c", "C", 0, -1160, -258, -171, -1589
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/finalize.c", "C", 0, -1090, -178, -138, -1406
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/fnlz_mlc.c", "C", 0, -68, -29, -16, -113
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc.h", "C++", -1, 0, -1, -1, -3
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/cord.h", "C++", -98, 0, -221, -60, -379
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/cord_pos.h", "C++", -54, 0, -49, -26, -129
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/ec.h", "C++", -29, 0, -46, -15, -90
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc.h", "C++", -825, 0, -1134, -221, -2180
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_allocator.h", "C++", -227, 0, -60, -55, -342
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_backptr.h", "C++", -27, 0, -58, -13, -98
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_config_macros.h", "C++", -353, 0, -60, -46, -459
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_cpp.h", "C++", -341, 0, -164, -60, -565
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_disclaim.h", "C++", -22, 0, -41, -12, -75
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_gcj.h", "C++", -33, 0, -61, -17, -111
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_inline.h", "C++", -126, 0, -61, -22, -209
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_mark.h", "C++", -120, 0, -175, -36, -331
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_pthread_redirects.h", "C++", -73, 0, -31, -21, -125
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/libs/gc/include/gc/gc_tiny_fl.h", "C++", -29, 0, -54, -8, -91
