"filename", "language", "Makefile", "C++", "Markdown", "comment", "blank", "total"
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/Makefile", "Makefile", 149, 0, 0, 79, 53, 281
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/README.md", "Markdown", 0, 0, 2, 0, 1, 3
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/build/cursor_sprites.h", "C++", 0, 6, 0, 1, 2, 9
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/build/eng_debug_menu.h", "C++", 0, 15, 0, 1, 2, 18
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/build/missingTexture.h", "C++", 0, 2, 0, 1, 2, 5
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Components/CursorComponent.cpp", "C++", 0, 32, 0, 4, 7, 43
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/Components/debug.cpp", "C++", 0, 536, 0, 39, 57, 632
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/basics.hpp", "C++", 0, 19, 0, 2, 5, 26
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/components.hpp", "C++", 0, 3, 0, 0, 3, 6
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/data.hpp", "C++", 0, 267, 0, 63, 48, 378
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/debug.hpp", "C++", 0, 140, 0, 9, 13, 162
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/font.hpp", "C++", 0, 29, 0, 0, 7, 36
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/gc/Generation.cpp", "C++", 0, 41, 0, 7, 16, 64
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/gc/Generation.hpp", "C++", 0, 34, 0, 14, 9, 57
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/gc/config.hpp", "C++", 0, 8, 0, 0, 1, 9
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/gc/gc.cpp", "C++", 0, 130, 0, 10, 32, 172
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/gc/gc.hpp", "C++", 0, 85, 0, 17, 27, 129
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/input.hpp", "C++", 0, 14, 0, 0, 3, 17
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/object.hpp", "C++", 0, 105, 0, 17, 52, 174
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/objectdef.hpp", "C++", 0, 132, 0, 4, 27, 163
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/preproc.hpp", "C++", 0, 8, 0, 0, 3, 11
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/scene.hpp", "C++", 0, 70, 0, 15, 29, 114
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/scenedef.hpp", "C++", 0, 66, 0, 3, 14, 83
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/setup.hpp", "C++", 0, 38, 0, 0, 14, 52
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/sound.hpp", "C++", 0, 26, 0, 1, 3, 30
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/sprites.hpp", "C++", 0, 138, 0, 29, 31, 198
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/tilemap.hpp", "C++", 0, 2, 0, 0, 2, 4
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/types.hpp", "C++", 0, 50, 0, 3, 12, 65
"/home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/src/main.cpp", "C++", 0, 136, 0, 49, 48, 233
"Total", "-", 149, 2132, 2, 368, 523, 3174
